Term,Trade duration,profits
Short term,31,-0.05584986361825473
Short term,31,-0.06372028913667081
Short term,31,-0.055665830492369665
Short term,31,-0.05584986361825473
Short term,32,0.017907109447099626
Short term,32,0.11916717129003877
Short term,32,0.1104416408890275
Short term,32,0.026045923052118822
Short term,32,0.043867826460193014
Short term,32,0.09597959849770912
Short term,32,0.1150133540711838
Short term,32,0.1150133540711838
Short term,32,0.026045923052118822
Short term,32,0.11916717129003877
Short term,32,0.09597959849770912
Short term,32,0.1104416408890275
Short term,32,-0.015181824118685839
Short term,32,0.017907109447099626
Short term,32,0.04835573291591579
Short term,30,-0.01936219606653866
Short term,31,0.001497899158008213
Short term,32,-0.00510943507514377
Short term,30,0.03234349729802545
Short term,30,0.11208539104305813
Short term,30,0.1626617380816899
Short term,30,-0.01078824637379282
Short term,30,-0.13245743870718665
Short term,30,0.023525209758307925
Short term,30,0.07972037839686207
Short term,30,-0.005744331626631648
Short term,32,0.02372019181808619
Short term,32,-0.01869921180290916
Short term,32,-0.046704311380430616
Short term,32,-0.1933270631303261
Short term,33,0.018816961323235282
Short term,33,0.04446615395197228
Short term,33,0.018816961323235282
Short term,33,-0.014588855502325372
Short term,33,0.10615863863945657
Short term,33,-0.09345932696138025
Short term,33,-0.043298834398062105
Short term,33,-0.04161935929569994
Short term,33,0.018816961323235282
Short term,33,0.06240656254202199
Short term,30,0.018394327161900068
Short term,30,0.007016608012118861
Short term,30,-0.011067907263063193
Short term,30,-0.047085228467780293
Short term,30,-0.013944094281047474
Short term,30,0.08263412586732688
Short term,30,0.06044535274419523
Short term,30,0.010446981301125608
Short term,30,0.07963114514048023
Short term,30,-0.009335477610270574
Short term,30,0.056286172020224866
Short term,30,0.11245508324224565
Short term,31,0.0867904119174979
Short term,31,0.053201943313858836
Short term,31,-0.029890801643216374
Short term,31,-0.05837837425438133
Short term,32,0.01757632706296593
Short term,32,0.023323099978510668
Short term,32,0.09766979547309881
Short term,30,0.0789838450251829
Short term,30,0.1018354815191575
Short term,30,0.03190044848583708
Short term,30,0.06483126909587028
Short term,30,0.10766457451379348
Short term,30,0.013118901236322788
Short term,30,0.013118901236322788
Short term,30,0.08861657068366842
Short term,30,0.053485202515278205
Short term,30,0.05729564486305412
Short term,32,0.04208782854246615
Short term,32,0.034099560778287914
Short term,32,-0.057934528870490005
Short term,32,0.0345889390225012
Short term,32,0.032249141963114215
Short term,32,-0.014884596604567308
Short term,32,-0.024446211996388093
Short term,33,0.009277560641902258
Short term,30,0.04059328333687985
Short term,30,-0.09297526279243697
Short term,30,0.06388799214581214
Short term,30,-0.11492534438317628
Short term,30,-0.0013684231544688794
Short term,30,0.1628344684784126
Short term,30,0.041648024022510985
Short term,30,0.05722332261567998
Short term,30,0.018563737318371878
Short term,30,0.11492073078029623
Short term,30,0.03651621842707668
Short term,30,0.03651621842707668
Short term,30,0.1012309074157629
Short term,30,0.03651621842707668
Short term,30,0.09915278251909446
Short term,30,-0.02985663078764428
Short term,30,-0.09394610786116304
Short term,32,-0.015269622478768577
Short term,32,0.29382536159079103
Short term,32,0.08013464128766276
Short term,30,0.05729644822268625
Short term,30,-0.13585247503157893
Short term,30,-0.0492668838019316
Short term,30,-0.010067196371921926
Short term,30,0.028640248322901456
Short term,30,-0.04276652748654519
Short term,30,0.04381556528726648
Short term,30,0.12572538534219868
Short term,30,0.04381556528726648
Short term,30,-0.02482417689804825
Short term,30,0.0770290367786216
Short term,30,0.26279128070982716
Short term,30,0.19248535056940216
Short term,30,0.06322957010738002
Short term,30,0.18625572797879542
Short term,31,0.3533384110111679
Short term,30,0.11793772565599395
Short term,30,0.04219988093498882
Short term,30,-0.14821218866287406
Short term,30,0.0627336057991071
Short term,31,-0.04026219970868287
Short term,32,-0.030430221839206437
Short term,30,0.0275090265248475
Short term,30,0.0275090265248475
Short term,30,0.12239324443601733
Short term,30,0.06835523930487206
Short term,30,0.112044175132447
Short term,30,0.11123852692606122
Short term,30,0.1189534297473277
Short term,31,0.1479639433437704
Short term,31,0.04544643130443545
Short term,31,-0.05262088761384414
Short term,31,-0.17768195563167086
Short term,31,-0.003619199318076247
Short term,30,0.12000000995138417
Short term,30,0.030283084322202683
Short term,31,0.14705882700300252
Short term,30,0.1725818034558848
Short term,30,0.10741888627492367
Short term,30,0.021011205391772928
Short term,31,0.0019156917792785934
Short term,30,0.18068098441720062
Short term,30,0.031450624819155094
Short term,30,-0.1138225361839369
Short term,30,0.01868472540003658
Short term,30,0.03886858913027442
Short term,30,0.01580960974269442
Short term,30,0.08471129648600953
Short term,30,0.10664787027424587
Short term,30,-0.07306605732428048
Short term,30,-0.06115983397092369
Short term,30,0.056985134255845664
Short term,30,0.015577593627549414
Short term,30,0.021327418307162206
Short term,30,0.114381801295826
Short term,30,0.024667484773960673
Short term,30,-0.10727667259621777
Short term,30,-0.01075949836972999
Short term,30,0.43529403991581983
Short term,30,-0.020973833606338966
Short term,30,0.035361229359477636
Short term,30,-0.023832221683008834
Short term,30,0.019315127894922676
Short term,30,-0.025015244824905622
Short term,30,-0.09017859340018193
Short term,30,0.17575186327250641
Short term,30,0.02449188641346606
Short term,30,0.013513470766310086
Short term,30,0.00746913168721831
Short term,30,-0.056179800068767924
Short term,30,0.152
Short term,30,0.11866409703172831
Short term,30,-0.2242338819995885
Short term,30,0.08002881512875394
Short term,30,0.0917741608916505
Short term,30,-0.03137071253311111
Short term,30,0.030848360087799325
Short term,30,0.23976043883911863
Short term,30,-0.1677327439847348
Short term,30,0.13219430914794938
Short term,30,-0.3396467423225263
Short term,30,-0.02580645690558079
Short term,30,-0.1228956249227849
Short term,30,0.08585658133351771
Short term,30,-0.05692516593334579
Short term,30,-0.012506620006961847
Short term,30,-0.0033792210344869254
Short term,30,0.03960826255942356
Short term,30,-0.05968047071355004
Short term,30,-0.05529853479186101
Short term,31,0.029790650828199334
Short term,31,0.029790650828199334
Short term,31,0.030590815351340474
Short term,32,0.08930664778593288
Short term,30,0.0020384302420844197
Short term,30,-0.03890347782154681
Short term,30,0.040269661834183984
Short term,30,0.03734419793864826
Short term,30,-0.05530439774367367
Short term,30,-0.03730268885618656
Short term,30,0.02920389369524928
Short term,30,0.07743804814355217
Short term,30,0.10491436495325294
Short term,30,-0.06321146226649443
Short term,30,-0.013868219194399383
Short term,30,0.01901434856088809
Short term,30,0.10703981697283343
Short term,30,0.002092383662887103
Short term,30,-0.005187806398446205
Short term,30,0.041435213448565086
Short term,30,-0.10884801393501455
Short term,30,-0.009039369940668108
Short term,30,0.0249575812436322
Short term,30,0.10192695366700576
Short term,30,0.1050584275728205
Short term,30,-0.012349725786869516
Short term,30,0.1114585374232995
Short term,30,0.03998623184922107
Short term,30,0.013092402502566382
Short term,30,-0.021864228912735796
Short term,30,0.04152153259328801
Short term,30,0.05471073246551489
Short term,30,0.11767991041856554
Short term,30,-0.021403352860025884
Short term,30,0.008364278312656499
Short term,30,0.05232889787078989
Short term,30,0.03299658601456496
Short term,30,0.06310914118911469
