Date,Ticker,Close
2023-01-03,AAGIY,45.79999923706055
2023-01-03,AAP,151.5399932861328
2023-01-03,AAPL,125.06999969482422
2023-01-03,ABBV,162.3800048828125
2023-01-03,ABNB,84.9000015258789
2023-01-03,ABT,109.58000183105469
2023-01-03,ACI,20.700000762939453
2023-01-03,ACN,270.260009765625
2023-01-03,ADBE,336.9200134277344
2023-01-03,ADDYY,69.73999786376953
2023-01-03,ADI,162.4499969482422
2023-01-03,ADM,89.6500015258789
2023-01-03,ADP,237.66000366210938
2023-01-03,ADSK,185.14999389648438
2023-01-03,ADYEY,13.800000190734863
2023-01-03,AEG,5.050000190734863
2023-01-03,AFRM,9.100000381469727
2023-01-03,AIG,62.93000030517578
2023-01-03,AJINY,30.65999984741211
2023-01-03,ALGM,29.31999969482422
2023-01-03,ALGN,212.27999877929688
2023-01-03,ALGT,69.12000274658203
2023-01-03,ALL,136.66000366210938
2023-01-03,ALLY,24.420000076293945
2023-01-03,ALNY,233.58999633789062
2023-01-03,ALPMY,15.220000267028809
2023-01-03,AMAT,96.7300033569336
2023-01-03,AMD,64.0199966430664
2023-01-03,AME,140.52000427246094
2023-01-03,AMGN,261.6499938964844
2023-01-03,AMT,214.6699981689453
2023-01-03,AMZN,85.81999969482422
2023-01-03,ANET,120.91000366210938
2023-01-03,AON,299.4200134277344
2023-01-03,AONNY,21.25
2023-01-03,AORT,11.770000457763672
2023-01-03,APPF,107.16999816894531
2023-01-03,APTV,92.94999694824219
2023-01-03,ARCC,18.56999969482422
2023-01-03,ARE,144.11000061035156
2023-01-03,ARLP,19.690000534057617
2023-01-03,ARQT,14.770000457763672
2023-01-03,ASAZY,10.75
2023-01-03,ASML,549.5700073242188
2023-01-03,ATLKY,11.970000267028809
2023-01-03,ATUS,4.590000152587891
2023-01-03,AVB,161.5
2023-01-03,AVGO,55.347999572753906
2023-01-03,AXON,168.24000549316406
2023-01-03,AXP,147.1199951171875
2023-01-03,AZTA,58.939998626708984
2023-01-03,BAC,33.5099983215332
2023-01-03,BALL,51.970001220703125
2023-01-03,BAP,138.1199951171875
2023-01-03,BATRK,32.290000915527344
2023-01-03,BAYRY,13.020000457763672
2023-01-03,BBY,80.41000366210938
2023-01-03,BCC,70.12000274658203
2023-01-03,BCRX,11.449999809265137
2023-01-03,BDNNY,75.5199966430664
2023-01-03,BDX,256.17999267578125
2023-01-03,BHF,51.040000915527344
2023-01-03,BILL,109.26000213623047
2023-01-03,BIO,422.42999267578125
2023-01-03,BLK,712.0399780273438
2023-01-03,BMY,72.26000213623047
2023-01-03,BNTX,148.64999389648438
2023-01-03,BP,34.31999969482422
2023-01-03,BRO,56.650001525878906
2023-01-03,BSX,46.0099983215332
2023-01-03,BX,76.12999725341797
2023-01-03,BXP,66.62000274658203
2023-01-03,C,45.779998779296875
2023-01-03,CADE,24.31999969482422
2023-01-03,CAG,38.83000183105469
2023-01-03,CAR,164.75
2023-01-03,CAT,238.8800048828125
2023-01-03,CB,220.77000427246094
2023-01-03,CBZ,46.63999938964844
2023-01-03,CC,30.6200008392334
2023-01-03,CCI,138.30999755859375
2023-01-03,CCK,82.48999786376953
2023-01-03,CEG,81.91000366210938
2023-01-03,CELH,33.4900016784668
2023-01-03,CFG,39.529998779296875
2023-01-03,CHGCY,12.800000190734863
2023-01-03,CHPT,9.09000015258789
2023-01-03,CHRD,131.77000427246094
2023-01-03,CHX,27.93000030517578
2023-01-03,CI,321.4800109863281
2023-01-03,CIVI,54.84000015258789
2023-01-03,CJPRY,12.300000190734863
2023-01-03,CLF,16.790000915527344
2023-01-03,CMCSA,35.56999969482422
2023-01-03,CME,168.9499969482422
2023-01-03,CMI,241.0399932861328
2023-01-03,CMSQY,17.43000030517578
2023-01-03,CNC,79.73999786376953
2023-01-03,CNP,29.559999465942383
2023-01-03,COCO,13.5
2023-01-03,COF,92.97000122070312
2023-01-03,COLB,29.260000228881836
